stateStr,POP,tUNDER5,tUNDER18,tOVER65,pFEM,pWHITE,pBLK,pAIAN,pASIAN,pNHPI,p2RACE,pHISPLAT,pWHITEnHL,tVET,pFOREIGN,tHOUSE,tOWNHOUSE,mOWN,mOWNCOSTwM,mOWNCOSTwNM,mRENT,tBUILD,tHHOLD,tPERSpHOUSE,pSAMEHOUSE,pNENG,pEDUHS,pEDUBATCH,pDISABIL,pUNINS,pEMP,pEMPFEM,tSALEFOOD,tSALEHCARE,tSALEMANU,tSALEMERCH,tSALERETAIL,pcSALERETAIL,mTRAVEL,mHOUSEINC,pcINCOME,pPOVERTY,tWORKPLACE,tEMPLOY,tPAYROLL,tNONEMPPLACE,tFIRMS,tFIRMSMALE,tFIRMSFEM,tFIRMSMINOR,tFIRMSNONMINOR,tFIRMSVET,tFIRMSNONVET,POPDENS,tLAND
New Mexico,2059179,7,25.2,13.2,50.6,68.4,2.1,9.4,1.4,0.1,3.7,46.3,40.5,164157,9.8,901388,68.1,160300,1227,327,777,4599,763603,2.67,85.7,35.7,84.2,26.3,10.1,12.8,59.1,54.9,4349672,11236630,29102352,10720363,25179274,12073,21.6,44963,24012,20.4,43748,602632,23629149,121343,151363,71132,59044,60622,83857,14096,128693,17,121298.15
New York,19378102,6,22.3,13.5,51.6,65.7,15.9,0.6,7.3,NA,3,17.6,58.3,828586,22.5,8108103,53.6,283400,2022,709,1132,74611,7262279,2.63,89.1,30.4,85.6,34.2,7.4,8.1,63.3,58.7,49285508,155666053,148879931,341734970,251167736,12834,32.3,59269,33236,15.4,536890,7858425,492706483,1674297,2008988,1139910,725709,709021,1248304,137532,1811544,411.2,47126.4
North Carolina,9535483,6.6,23.9,12.9,51.3,68.5,21.5,1.3,2.2,0.1,2.2,8.4,65.3,696119,7.7,4327528,65.1,154900,1248,373,797,54757,3775581,2.54,84.7,11.2,85.8,28.4,9.6,13.1,61.8,57.7,18622258,55227505,202344646,105275586,120691007,12376,23.9,46868,25920,16.4,219897,3560448,155372284,706538,805985,435677,287058,183380,603182,86571,684743,196.1,48617.91
Ohio,11536504,6.2,23.7,14.1,51.2,82.7,12.2,0.2,1.7,NA,2.1,3.1,81.1,806531,4.1,5127508,66.3,129900,1246,444,730,20047,4585084,2.46,85.3,6.7,89.1,26.1,9.9,7.6,63.3,59,20652777,80915693,313629976,155426023,153553997,13301,23.2,49429,26953,14.8,250535,4636844,203868114,757764,904814,510078,306824,122653,759569,91316,776193,282.3,40860.69
Oregon,3831074,6.2,22.6,13.9,50.5,83.6,1.8,1.4,3.7,0.3,3.8,11.7,78.5,306723,9.9,1675562,61.3,237300,1557,469,907,17510,1533430,2.51,81.9,15.1,89.8,30.8,10.2,8.3,62.1,57.6,8466788,24956816,51349948,48325261,49481054,12690,22.9,51243,27684,15.4,109875,1444041,65714985,269901,339305,165691,123015,41456,285028,30918,288790,39.9,95988.01
Pennsylvania,12702379,5.7,22,15.4,51.3,81.9,10.8,0.2,2.7,NA,1.9,5.7,79.5,870770,6.3,5567315,69.2,166000,1425,498,840,22854,4958859,2.49,88,10.6,89.2,28.6,9.5,7.5,62.8,58.3,23504192,96329248,231396178,191170147,178794945,14008,26.3,53599,29291,13.2,298297,5255409,248560941,799663,975453,579400,304803,131512,818858,97969,837792,283.9,44742.7
South Carolina,4625364,6.5,23.4,13.7,51.4,66.2,27.9,0.4,1.3,0.1,1.7,5.1,64.1,378959,4.8,2137683,68.6,139900,1183,347,790,31030,1815094,2.56,84.7,6.9,85.6,25.8,10.3,12.9,60.1,56.2,9763818,22941292,99160840,45520900,58093824,12298,23.9,45483,24604,16.6,102297,1617249,62406424,319046,367726,202446,131856,83233,276269,47987,303137,153.9,30060.7
Tennessee,6346105,6.4,23.6,13.4,51.3,77.6,16.7,0.3,1.4,0.1,1.7,4.6,75.6,462414,4.8,2812133,66.8,142100,1181,359,764,32219,2504556,2.53,84.7,6.9,85.5,24.9,11.2,12,61,56.3,12499013,42383683,139960482,111718421,91641605,14194,24.5,45219,25227,16.7,131504,2453470,103559163,487341,550453,302249,195694,105234,434025,59379,469392,153.9,41234.9
Texas,25145561,7.7,27.3,10.3,50.4,70.4,11.8,0.7,3.8,0.1,2.7,37.6,45.3,1539655,16.6,9977436,62.2,136000,1432,460,882,175443,9149196,2.84,83.3,35,81.9,27.6,8.1,19.1,64.3,57.7,54480811,145035130,702603073,691242607,356116376,13666,25.6,53207,26999,15.9,557721,9920214,501456595,2150702,2356748,1251696,866678,1070392,1224845,213590,2057218,96.3,261231.71
Utah,2763885,9.5,31.5,9,49.8,86.1,1.1,1.2,2,0.9,2.7,13,80.4,134332,8.4,979709,69.5,215900,1428,388,887,18297,906292,3.15,82.9,14.7,91.2,31.1,6.6,11.5,67.7,59.5,4789281,14521857,50046429,30927885,38024486,13317,21.6,60727,24686,11.3,73375,1148251,47913387,209643,251419,132163,76269,24423,218826,18754,219807,33.6,82169.62
Wisconsin,5686986,6.3,23.6,13.7,50.4,86.2,6.3,1,2.3,NA,1.8,5.9,83.3,381940,4.8,2624358,67.3,165800,1402,532,776,16793,2299107,2.43,85.8,8.7,91,27.8,8.2,6.6,67.1,63.5,10303256,40680625,177728926,77066883,78201822,13656,21.9,53357,28340,12.1,138221,2450254,106791126,339963,432980,236252,133859,40507,379934,39830,370755,105,54157.8
UNITED STATES,308745538,6.5,24,13,50.8,72.4,12.6,0.9,4.8,0.2,2.9,16.3,63.7,20108332,13.2,131704730,63.9,178600,1492,458,928,1182582,116926305,2.64,85.1,21,86.7,29.8,8.6,10.5,63.3,58.5,708138598,2040441203,5696729632,5208023478,4219821871,13443,25.9,53889,28930,13.5,7563085,121079879,5940442637,23836937,27626360,14844597,9878397,7952386,18987918,2521682,24070685,87.4,3531905.43
Puerto Rico,3725789,6,24.2,14.5,52.1,75.8,12.4,0.5,0.2,NA,3.3,99,0.7,95342,2.8,1636946,68.9,120500,895,157,456,NA,1244202,2.85,92.7,94.7,73,24.2,15.4,6.8,45,40.2,4256139,6098340,76575043,20184374,24957584,6806,29.7,19350,11394,46.1,44169,681058,17244332,NA,NA,NA,NA,NA,NA,NA,NA,1088.2,3423.8
